# Generated by refresh-data.py on 2026-07-06. Do not edit by hand
# (hand corrections belong in institutional-overrides.json).
# domain,type where type is government|education|healthcare|utility.
# Sources: Wikidata P856 (CC0), Annuaire de l'administration (Licence
# Ouverte v2), GSA/govt-urls (US public domain).
admsernovod.ru,government
admsheregesh.my1.ru,government
admsoldatstep.ucoz.ru,government
admsosnovo.ru,government
admsp-sudoverf.ru,government
admspicevka.ru,government
admsplovozero.ru,government
admsvk.ru,government
admsysert.ru,government
admtokmakokrug.gosuslugi.ru,government
admtroitsky.ru,government
admtrosna.ru,government
admural.ru,government
admveselovskoesp.ru,government
admvolchansk.ru,government
admvoronino.ru,government
admvorsino.narod.ru,government
admvos.do.am,government
admvostochnoe.ru,government
admvoz.ru,government
admvoznesenie.ru,government
admxoz.ru,government
adn.gov.ph,government
adnet.salzburg.at,government
adolfo.sp.gov.br,government
adolfoalsina.gov.ar,government
adon.fr,government
adony.hu,government
adoormunicipality.in,government
adoormunicipality.lsgkerala.gov.in,government
adoptpakids.org,government
adoptuskids.org,government
ador.es,government
adorf-vogtland.de,government
adorjanhaza.hu,government
adour-madiran.fr,government
adph.org,government
adra.es,government
adradadehaza.es,government
adradadepiron.es,government
adrados.es,government
adrarasanrocco.com,government
adrian.govoffice2.com,government
adrianmo.com,government
adriers.fr,government
adrz.nl,healthcare
adsea86.fr,government
adstock.ca,government
aduna.eus,government
adunati.go.ro,government
adurcal.com,government
adustina.ba.gov.br,government
advancedeyehospital.com,healthcare
adventhealth.com,healthcare
adventisthealth.org,healthcare
adventisthealthcare.com,healthcare
adventisthealthcastle.org,healthcare
advocatechildrenshospital.com,healthcare
advocatehealth.com,healthcare
advt.pt,utility
adzhamska-gromada.gov.ua,government
ae14.org,government
aec-escourtines.com,government
aefutha.gov.ng,healthcare
aegina.gr,government
aegviidu.ee,government
aepohio.com,utility
aeptexas.com,utility
aerenzdall.lu,government
aerhq.org,government
aeroekommune.dk,government
aeroport.mos.ru,government
aers-asso.fr,government
aerzen.de,government
aestrada.com,government
aetsa.fi,government
afa.corsica,government
afacademy.af.edu,government
afanasievo.rkursk.ru,government
afanasievskoe.ru,government
afb.org,government
afcity.org,government
afcrossroads.com,government
afd.fr,healthcare
afedj.org,healthcare
affalterbach.de,government
affing.de,government
affinityhealth.org,healthcare
affleville.free.fr,government
affligem.be,government
affoux.fr,government
afic.gov.pk,healthcare
afiesl.at,government
afile77.org,government
afip.asso.fr,government
afipsip01.ru,government
afirm.mil,healthcare
afjord.kommune.no,government
afl67.com,government
aflenz.gv.at,government
afmc.nic.in,healthcare
afmcl.com,healthcare
afmd.mnd.go.kr,healthcare
afneurope.net,government
afnpacific.net,government
afogadosdaingazeira.pe.gov.br,government
afognak.org,government
afonsagrada.org,government
afonsobezerra.rn.gov.br,government
afonsoclaudio.es.gov.br,government
afpa.fr,government
afpar.com,government
afph.tsgh.ndmctsgh.edu.tw,healthcare
afpmb.org,government
afranio.pe.gov.br,government
afreserve.com,government
africachildrens.org,healthcare
afriglobalmedicare.com,healthcare
afrimedspecialisthospital.gnbo.com.ng,healthcare
afritz.gv.at,government
afthunderbirds.com,government
aftoniowa.com,government
aftonwyoming.net,government
aftygh.gov.tw,healthcare
afyon-bld.gov.tr,government
ag.umass.edu,government
agahealthfoundation.org,healthcare
agakhanhospitals.org,healthcare
agan.gov.gr,government
aganang.co.za,government
agandreashosp.gr,healthcare
aganocity-hp.jp,healthcare
agapia.ro,government
agaplesion-elisabethenstift.de,healthcare
agapovskoe.ru,government
agasegyhaza.hu,government
agate-paysages.fr,government
agathonisi.gr,government
agav973.fr,government
agavipmediations.fr,government
agawam.ma.us,government
agdenes.kommune.no,government
ageclic.fr,government
agefiph.fr,government
agel34.fr,government
agen-d-aveyron.fr,government
agen.fr,government
agena.org,government
agence-mve.org,government
ager.cat,government
agethorst.de,government
agey.fr,government
agf67.fr,government
agfalva.hu,government
agfirst.com,government
agglo-accm.fr,government
agglo-agen.net,government
agglo-auxerrois.fr,government
agglo-boulonnais.fr,government
agglo-bourgesplus.fr,government
agglo-cambrai.fr,government
agglo-carene.fr,government
agglo-cobas.fr,government
agglo-colmar.fr,government
agglo-compiegne.fr,government
agglo-epinal.fr,government
agglo-fecampcauxlittoral.fr,government
agglo-foix-varilhes.frcommunes,government
agglo-forbach.fr,government
agglo-grandgueret.fr,government
agglo-haguenau.fr,government
agglo-henincarvin.fr,government
agglo-heraultmediterranee.net,government
agglo-larochelle.fr,government
agglo-laval.fr,government
agglo-lenslievin.fr,government
agglo-lepuyenvelay.fr,government
agglo-limoges.fr,government
agglo-maubeugevaldesambre.fr,government
agglo-montargoise.fr,government
agglo-montbeliard.fr,government
agglo-moulins.fr,government
agglo-muretain.fr,government
agglo-nevers.net,government
agglo-niort.fr,government
agglo-pau.fr,government
agglo-paysdemeaux.fr,government
agglo-pfv.fr,government
agglo-plainecentrale94.fr,government
agglo-plainevallee.fr,government
agglo-porteduhainaut.fr,government
agglo-pvm.fr,government
agglo-rochefortocean.fr,government
agglo-royan.fr,government
agglo-saint-avold.fr,government
agglo-saint-louis.fr,government
agglo-saintes.fr,government
agglo-saintquentinois.fr,government
agglo-sarreguemines.fr,government
agglo-seine-eure.fr,government
agglo-sudsaintebaume.fr,government
agglo-thionville.fr,government
agglo-tulle.fr,government
agglo-valdefensch.fr,government
agglo-villefranche.fr,government
agglo.bethunebruay.fr,government
agglo.grandsoissons.com,government
agglo2b.fr,government
agglocreilloise.fr,government
agglodebrive.fr,government
agglodieppe-maritime.com,government
agglopole.fr,government
agglopolys.fr,government
aggloroanne.fr,government
aggsbach.gv.at,government
aggtelek.hu,government
aghione.fr,government
agiaanna.org,government
agiaeirini.org,government
agiamarinachrysochous.org,government
agiamarinakelokedaron.org,government
agiamarinaxyliatou.org,government
agianapa.org.cy,government
agiaparaskevi.gr,government
agiaparaskevi.net,government
agiavarvara.gr,government
agidel.bashkortostan.ru,government
agiitrimithias.com,government
agiivavatsinias.org,government
agios-efstratios.gov.gr,government
agios-vasilios.gr,government
agiosambrosios.org,government
agiosathanasios.org.cy,government
agiosepifanios.org,government
agiosgeorgiossylikou.org,government
agiosioannis.org,government
agiosioannism.org,government
agioskonstantinos.org,government
agiosnikolaos.gr,government
agiostheodoros.org,government
agiostheodorospitsilias.org,government
agiostheodorossoleas.org,government
agiostherapon.com,government
agiostychonas.com,government
agire-cucm.fr,government
agistri-island.gr,government
aglaiakyriakou.gr,healthcare
aglantzia.org.cy,government
aglasterhausen.de,government
aglipay-quirino.gov.ph,government
agmc.hyogo.jp,healthcare
agnac47.fr,government
agneaux.fr,government
agnesian.com,healthcare
agnetz.fr,government
agnezlesduisans.fr,government
agnhosp.gr,healthcare
agnic.org,government
agnin.fr,government
agnin.info,government
agnisairkrishnasawaranmun.gov.np,government
agno.gov.ph,government
agnos-64.fr,government
agny.fr,government
agolada.es,government
agonac.fr,government
agoncoutainville.fr,government
agones.fr,government
agonges.fr,government
agoolaunion.gov.ph,government
agopop.fr,government
agorajustice.fr,government
agordino.bl.it,government
agos-vidalos.fr,government
agost.es,government
agourahillscity.org,government
agpavlos.gr,healthcare
agr-lnr.ru,government
agrafa.gr,government
agramunt.cat,government
agreda.es,government
agrenska.se,healthcare
agres.es,government
agrestina.pe.gov.br,government
agri.bel.tr,government
agri02.com,government
agri82.chambre-agriculture.fr,government
agri85.fr,government
agribank.com,government
agriculteurs22.com,government
agriculteurs56.com,government
agriculture-npdc.fr,government
agridia.org,government
agrilifeextension.tamu.edu,government
agrinio.gov.gr,government
agris.fr,government
agrmo.rk08.ru,government
agrolandia.sc.gov.br,government
agron.es,government
agronomica.sc.gov.br,government
agronomichna-gromada.gov.ua,government
agros.org.cy,government
agryz.tatarstan.ru,government
ags.gob.mx,government
agsavvas-hosp.gr,healthcare
agss-udaf.org,government
